Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Data Scientist I,"New York, NY","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",72235,80168,88881,96063,102601
Data Scientist I,"Los Angeles, CA","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",67910,75368,83560,90312,96459
Data Scientist I,"Chicago, IL","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",63702,70697,78381,84715,90481
Data Scientist I,"Houston, TX","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",61547,68306,75730,81849,87420
Data Scientist I,"Phoenix, AZ","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",59316,65830,72985,78882,84252
Data Scientist I,"Philadelphia, PA","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",64321,71384,79143,85538,91360
Data Scientist I,"San Antonio, TX","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",58388,64800,71843,77649,82934
Data Scientist I,"San Diego, CA","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",64799,71915,79731,86174,92039
Data Scientist I,"Dallas, TX","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",59655,66207,73402,79334,84734
Data Scientist I,"San Jose, CA","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",75357,83633,92723,100215,107036
