Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Software Engineer I,"New York, NY","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",74237,81336,89133,97730,105558
Software Engineer I,"Los Angeles, CA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",69793,76466,83797,91879,99238
Software Engineer I,"Chicago, IL","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",65467,71728,78604,86185,93088
Software Engineer I,"Houston, TX","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",63253,69301,75944,83270,89939
Software Engineer I,"Phoenix, AZ","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",60960,66789,73192,80252,86679
Software Engineer I,"Philadelphia, PA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",66104,72425,79367,87023,93993
Software Engineer I,"San Antonio, TX","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",60007,65745,72047,78997,85324
Software Engineer I,"San Diego, CA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",66595,72963,79957,87670,94691
Software Engineer I,"Dallas, TX","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",61309,67171,73610,80711,87175
Software Engineer I,"San Jose, CA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",77446,84852,92986,101955,110121
Software Engineer I,"Austin, TX","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",60692,66495,72870,79898,86298
Software Engineer I,"Jacksonville, FL","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",58489,64082,70224,76998,83165
Software Engineer I,"Fort Worth, TX","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",60131,65881,72196,79160,85500
Software Engineer I,"Columbus, OH","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",60877,66698,73092,80142,86561
Software Engineer I,"Charlotte, NC","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",60450,66230,72579,79580,85954
Software Engineer I,"San Francisco, CA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",77137,84514,92615,101548,109682
Software Engineer I,"Indianapolis, IN","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",60044,65785,72092,79045,85376
Software Engineer I,"Seattle, WA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",67474,73926,81012,88826,95941
Software Engineer I,"Denver, CO","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",62407,68375,74929,82157,88737
Software Engineer I,"Washington, DC","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",68696,75264,82479,90435,97678
Software Engineer I,"Boston, MA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",69529,76177,83480,91532,98863
Software Engineer I,"El Paso, TX","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",53976,59137,64806,71057,76748
Software Engineer I,"Nashville, TN","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",57350,62833,68857,75498,81545
Software Engineer I,"Detroit, MI","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",62765,68767,75359,82628,89246
Software Engineer I,"Oklahoma City, OK","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",56372,61762,67683,74212,80155
Software Engineer I,"Portland, OR","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",64066,70192,76921,84340,91096
Software Engineer I,"Las Vegas, NV","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",63037,69064,75685,82985,89632
